"ID","week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
"181",5,"dummy","cur",271,280,571,971,4
"182",5,"dummy","cur",244,327,429,939,4
"183",5,"dummy","cur",434,456,513,909,4
"184",5,"dummy","cur",377,410,594,571,4
"185",5,"dummy","cur",393,502,633,793,4
"186",5,"dummy","cur",317,414,453,765,4
"187",5,"dummy","cur",339,445,534,899,4
"188",5,"dummy","cur",599,497,538,657,4
"189",5,"dummy","cur",394,413,651,813,4
"190",5,"dummy","cur",586,350,493,802,4
"191",5,"dummy","cur",215,363,563,774,4
"192",5,"dummy","cur",581,423,401,733,4
"193",5,"dummy","cur",302,515,442,785,4
"194",5,"dummy","cur",341,498,469,925,4
"195",5,"dummy","cur",243,334,505,697,4
"196",5,"dummy","cur",546,471,489,637,4
"197",5,"dummy","cur",587,491,474,340,4
"198",5,"dummy","cur",185,523,472,529,4
"199",5,"dummy","cur",176,700,543,944,4
"200",5,"dummy","cur",235,589,506,584,4
"201",5,"dummy","cur",406,598,472,959,4
"202",5,"dummy","cur",389,381,420,813,4
"203",5,"dummy","cur",500,679,476,1021,4
"204",5,"dummy","cur",329,385,414,850,4
"205",5,"dummy","cur",120,554,461,579,4
"206",5,"dummy","cur",237,545,506,1103,4
"207",5,"dummy","cur",419,336,556,685,4
"208",5,"dummy","cur",366,396,339,1133,4
"209",5,"dummy","cur",271,371,458,955,4
"210",5,"dummy","cur",450,672,389,850,4
"211",5,"dummy","cur",612,524,470,991,4
"212",5,"dummy","cur",326,400,525,1154,4
"213",5,"dummy","cur",376,411,427,797,4
"214",5,"dummy","cur",451,453,521,817,4
"215",5,"dummy","cur",214,319,514,939,4
"216",5,"dummy","cur",435,422,470,876,4
"217",5,"dummy","cur",416,480,532,688,4
"218",5,"dummy","cur",561,490,509,685,4
"219",5,"dummy","cur",389,489,465,736,4
"220",5,"dummy","cur",132,472,534,582,4
"221",5,"dummy","cur",544,457,474,764,4
"222",5,"dummy","cur",397,435,504,426,4
"223",5,"dummy","cur",699,706,364,591,4
"224",5,"dummy","cur",542,551,528,1029,4
"225",5,"dummy","cur",345,463,514,893,4
"226",5,"dummy","cur",355,463,557,674,4
"227",5,"dummy","cur",227,521,558,637,4
"228",5,"dummy","cur",578,429,438,986,4
"229",5,"dummy","cur",461,507,375,957,4
"230",5,"dummy","cur",470,293,456,671,4
"231",5,"dummy","cur",-92,671,534,1184,4
"232",5,"dummy","cur",588,405,650,1058,4
"233",5,"dummy","cur",425,516,493,493,4
"234",5,"dummy","cur",180,563,680,1047,4
"235",5,"dummy","cur",467,518,488,1041,4
"236",5,"dummy","cur",739,532,525,787,4
"237",5,"dummy","cur",102,422,450,916,4
"238",5,"dummy","cur",309,547,597,614,4
"239",5,"dummy","cur",764,746,621,808,4
"240",5,"dummy","cur",148,475,366,260,4
"241",5,"dummy","cur",4,407,626,968,4
"242",5,"dummy","cur",311,537,425,960,4
"243",5,"dummy","cur",134,630,525,870,4
"244",5,"dummy","cur",168,366,494,865,4
"245",5,"dummy","cur",-38,478,451,417,4
"246",5,"dummy","cur",388,481,563,726,4
"247",5,"dummy","cur",407,512,482,448,4
"248",5,"dummy","cur",317,355,481,1006,4
"249",5,"dummy","cur",201,465,474,793,4
"250",5,"dummy","cur",753,308,524,789,4
"251",5,"dummy","cur",107,522,552,807,4
"252",5,"dummy","cur",402,477,417,901,4
"253",5,"dummy","cur",571,455,440,713,4
"254",5,"dummy","cur",279,439,459,1220,4
"255",5,"dummy","cur",298,457,525,536,4
"256",5,"dummy","cur",796,437,457,830,4
"257",5,"dummy","cur",295,414,460,747,4
"258",5,"dummy","cur",380,435,433,871,4
"259",5,"dummy","cur",291,455,459,611,4
"260",5,"dummy","cur",411,536,482,844,4
"261",5,"dummy","cur",535,488,448,700,4
"262",5,"dummy","cur",885,563,487,922,4
"263",5,"dummy","cur",743,356,573,1003,4
"264",5,"dummy","cur",646,320,495,568,4
"265",5,"dummy","cur",341,458,501,714,4
"266",5,"dummy","cur",364,434,601,877,4
"267",5,"dummy","cur",255,553,471,747,4
"268",5,"dummy","cur",204,359,542,823,4
"269",5,"dummy","cur",429,553,609,850,4
"270",5,"dummy","cur",372,491,484,1067,4
"271",5,"dummy","cur",371,434,490,601,4
"272",5,"dummy","cur",196,416,386,641,4
"273",5,"dummy","cur",263,285,520,998,4
"274",5,"dummy","cur",272,388,481,491,4
"275",5,"dummy","cur",342,451,472,616,4
"276",5,"dummy","cur",547,496,596,758,4
"277",5,"dummy","cur",175,550,521,799,4
"278",5,"dummy","cur",128,435,603,849,4
"279",5,"dummy","cur",617,543,483,879,4
"280",5,"dummy","cur",465,462,476,520,4
"281",5,"dummy","cur",407,483,478,716,4
"282",5,"dummy","cur",437,695,359,1159,4
"283",5,"dummy","cur",145,374,441,494,4
"284",5,"dummy","cur",357,576,485,573,4
"285",5,"dummy","cur",701,361,518,975,4
"286",5,"dummy","cur",521,350,502,690,4
"287",5,"dummy","cur",519,524,581,387,4
"288",5,"dummy","cur",555,618,447,903,4
"289",5,"dummy","cur",685,607,517,685,4
"290",5,"dummy","cur",8,573,566,945,4
"291",5,"dummy","cur",333,529,391,833,4
"292",5,"dummy","cur",32,499,484,353,4
"293",5,"dummy","cur",486,457,508,847,4
"294",5,"dummy","cur",608,581,486,945,4
"295",5,"dummy","cur",447,456,371,949,4
"296",5,"dummy","cur",567,456,589,841,4
"297",5,"dummy","cur",-124,535,514,1112,4
"298",5,"dummy","cur",311,354,536,571,4
"299",5,"dummy","cur",743,372,449,983,4
"300",5,"dummy","cur",269,522,516,666,4
"301",5,"dummy","cur",386,481,505,601,4
"302",5,"dummy","cur",44,520,583,864,4
"303",5,"dummy","cur",555,453,455,469,4
"304",5,"dummy","cur",287,631,568,789,4
"305",5,"dummy","cur",339,548,391,1206,4
"306",5,"dummy","cur",426,631,618,542,4
"307",5,"dummy","cur",283,506,476,799,4
"308",5,"dummy","cur",303,350,681,730,4
"309",5,"dummy","cur",347,642,495,591,4
"310",5,"dummy","cur",798,339,705,867,4
"311",5,"dummy","cur",329,424,445,669,4
"312",5,"dummy","cur",580,471,519,905,4
"313",5,"dummy","cur",523,400,454,1109,4
"314",5,"dummy","cur",200,489,429,570,4
"315",5,"dummy","cur",334,335,378,812,4
"316",5,"dummy","cur",540,375,569,905,4
"317",5,"dummy","cur",774,558,486,681,4
"318",5,"dummy","cur",480,551,521,863,4
"319",5,"dummy","cur",353,573,369,810,4
"320",5,"dummy","cur",328,592,491,932,4
"321",5,"dummy","cur",691,371,442,833,4
"322",5,"dummy","cur",440,612,529,756,4
"323",5,"dummy","cur",116,341,539,1251,4
"324",5,"dummy","cur",204,539,607,871,4
"325",5,"dummy","cur",293,522,472,1160,4
"326",5,"dummy","cur",500,531,512,957,4
"327",5,"dummy","cur",418,365,581,1112,4
"328",5,"dummy","cur",413,439,341,538,4
"329",5,"dummy","cur",503,648,493,600,4
"330",5,"dummy","cur",357,461,430,773,4
"331",5,"dummy","cur",444,531,529,679,4
"332",5,"dummy","cur",61,416,650,997,4
"333",5,"dummy","cur",17,498,468,421,4
"334",5,"dummy","cur",543,431,448,712,4
"335",5,"dummy","cur",476,492,609,537,4
"336",5,"dummy","cur",267,470,509,383,4
"337",5,"dummy","cur",400,582,562,920,4
"338",5,"dummy","cur",250,376,545,447,4
"339",5,"dummy","cur",554,494,391,833,4
"340",5,"dummy","cur",585,426,490,616,4
"341",5,"dummy","cur",393,363,549,1035,4
"342",5,"dummy","cur",516,621,516,967,4
"343",5,"dummy","cur",483,396,511,734,4
"344",5,"dummy","cur",300,454,506,740,4
"345",5,"dummy","cur",388,438,515,1049,4
"346",5,"dummy","cur",644,452,607,1241,4
"347",5,"dummy","cur",593,400,411,866,4
"348",5,"dummy","cur",-54,420,556,987,4
"349",5,"dummy","cur",662,537,477,910,4
"350",5,"dummy","cur",444,615,589,819,4
"351",5,"dummy","cur",370,506,496,903,4
"352",5,"dummy","cur",471,496,463,598,4
"353",5,"dummy","cur",218,569,485,916,4
"354",5,"dummy","cur",524,593,576,1086,4
"355",5,"dummy","cur",324,428,399,686,4
"356",5,"dummy","cur",498,652,519,1073,4
"357",5,"dummy","cur",437,424,401,1010,4
"358",5,"dummy","cur",605,300,521,973,4
"359",5,"dummy","cur",577,410,559,917,4
"360",5,"dummy","cur",308,544,388,881,4
"361",5,"dummy","cur",-105,454,407,1040,4
"362",5,"dummy","cur",423,446,598,511,4
"363",5,"dummy","cur",705,566,470,876,4
"364",5,"dummy","cur",367,213,410,849,4
"365",5,"dummy","cur",429,583,535,780,4
"366",5,"dummy","cur",563,442,527,981,4
"367",5,"dummy","cur",497,468,381,500,4
"368",5,"dummy","cur",-105,651,580,978,4
"369",5,"dummy","cur",263,234,632,955,4
"370",5,"dummy","cur",646,243,588,667,4
"371",5,"dummy","cur",389,453,605,670,4
"372",5,"dummy","cur",605,365,428,597,4
"373",5,"dummy","cur",756,494,567,687,4
"374",5,"dummy","cur",266,587,504,711,4
"375",5,"dummy","cur",484,616,554,513,4
"376",5,"dummy","cur",647,554,498,882,4
"377",5,"dummy","cur",580,479,565,681,4
"378",5,"dummy","cur",307,650,571,625,4
"379",5,"dummy","cur",382,471,465,829,4
"380",5,"dummy","cur",386,582,452,504,4
"381",5,"dummy","cur",72,406,546,1187,4
"382",5,"dummy","cur",478,525,472,484,4
"383",5,"dummy","cur",342,448,360,997,4
"384",5,"dummy","cur",399,561,493,724,4
"385",5,"dummy","cur",450,370,556,701,4
"386",5,"dummy","cur",455,615,454,558,4
"387",5,"dummy","cur",397,529,392,891,4
"388",5,"dummy","cur",591,346,536,871,4
"389",5,"dummy","cur",306,371,515,820,4
"390",5,"dummy","cur",543,527,511,568,4
"391",5,"dummy","cur",702,490,479,714,4
"392",5,"dummy","cur",856,448,414,717,4
"393",5,"dummy","cur",398,614,491,783,4
"394",5,"dummy","cur",330,478,515,916,4
"395",5,"dummy","cur",285,453,496,791,4
"396",5,"dummy","cur",83,321,348,852,4
"397",5,"dummy","cur",395,542,565,665,4
"398",5,"dummy","cur",745,555,449,646,4
"399",5,"dummy","cur",328,483,505,819,4
"400",5,"dummy","cur",458,410,405,787,4
"401",5,"dummy","cur",197,631,346,542,4
"402",5,"dummy","cur",328,373,395,891,4
"403",5,"dummy","cur",498,370,586,592,4
"404",5,"dummy","cur",259,587,598,543,4
"405",5,"dummy","cur",542,373,517,896,4
"406",5,"dummy","cur",149,390,515,463,4
"407",5,"dummy","cur",528,447,455,775,4
"408",5,"dummy","cur",396,547,448,803,4
"409",5,"dummy","cur",696,530,605,892,4
"410",5,"dummy","cur",292,504,477,917,4
"411",5,"dummy","cur",600,368,557,879,4
"412",5,"dummy","cur",-38,536,568,1054,4
"413",5,"dummy","cur",750,430,451,825,4
"414",5,"dummy","cur",304,403,396,911,4
"415",5,"dummy","cur",640,552,558,511,4
"416",5,"dummy","cur",339,555,597,751,4
"417",5,"dummy","cur",629,262,518,1216,4
"418",5,"dummy","cur",339,290,594,418,4
"419",5,"dummy","cur",502,238,386,822,4
"420",5,"dummy","cur",296,560,540,1075,4
"421",5,"dummy","cur",165,510,431,790,4
"422",5,"dummy","cur",361,559,417,1203,4
"423",5,"dummy","cur",307,491,550,604,4
"424",5,"dummy","cur",318,501,567,1070,4
"425",5,"dummy","cur",175,440,463,714,4
"426",5,"dummy","cur",884,716,512,798,4
"427",5,"dummy","cur",-7,651,415,823,4
"428",5,"dummy","cur",364,194,590,1031,4
"429",5,"dummy","cur",322,490,455,941,4
"430",5,"dummy","cur",335,421,511,824,4
"431",5,"dummy","cur",569,365,437,983,4
"432",5,"dummy","cur",389,551,558,692,4
"433",5,"dummy","cur",557,550,376,766,4
"434",5,"dummy","cur",146,605,412,709,4
"435",5,"dummy","cur",470,413,482,817,4
"436",5,"dummy","cur",377,498,449,918,4
"437",5,"dummy","cur",327,591,476,455,4
"438",5,"dummy","cur",687,445,427,881,4
"439",5,"dummy","cur",431,528,402,778,4
"440",5,"dummy","cur",640,428,523,762,4
"441",5,"dummy","cur",699,515,472,1185,4
"442",5,"dummy","cur",478,438,644,544,4
"443",5,"dummy","cur",459,253,573,641,4
"444",5,"dummy","cur",362,467,496,985,4
"445",5,"dummy","cur",317,388,484,874,4
"446",5,"dummy","cur",526,444,417,682,4
"447",5,"dummy","cur",512,293,576,573,4
"448",5,"dummy","cur",493,363,517,495,4
"449",5,"dummy","cur",409,685,509,651,4
"450",5,"dummy","cur",225,597,557,1011,4
"451",5,"dummy","cur",680,438,504,671,4
"452",5,"dummy","cur",423,510,415,847,4
"453",5,"dummy","cur",208,581,442,648,4
"454",5,"dummy","cur",190,398,617,934,4
"455",5,"dummy","cur",376,471,464,750,4
"456",5,"dummy","cur",374,631,457,682,4
"457",5,"dummy","cur",785,451,391,933,4
"458",5,"dummy","cur",361,628,578,426,4
"459",5,"dummy","cur",2,551,517,926,4
"460",5,"dummy","cur",172,412,449,814,4
"461",5,"dummy","cur",276,444,571,790,4
"462",5,"dummy","cur",176,552,462,979,4
"463",5,"dummy","cur",264,408,417,634,4
"464",5,"dummy","cur",-21,516,405,726,4
"465",5,"dummy","cur",313,570,524,854,4
"466",5,"dummy","cur",35,417,492,424,4
"467",5,"dummy","cur",785,317,569,932,4
"468",5,"dummy","cur",84,514,503,1074,4
"469",5,"dummy","cur",94,643,523,742,4
"470",5,"dummy","cur",534,751,506,789,4
"471",5,"dummy","cur",282,442,544,999,4
"472",5,"dummy","cur",338,477,477,490,4
"473",5,"dummy","cur",801,452,467,968,4
"474",5,"dummy","cur",209,648,602,670,4
"475",5,"dummy","cur",568,404,373,435,4
"476",5,"dummy","cur",544,558,562,1127,4
"477",5,"dummy","cur",350,617,519,840,4
"478",5,"dummy","cur",182,437,631,844,4
"479",5,"dummy","cur",396,438,514,435,4
"480",5,"dummy","cur",413,140,474,566,4
"481",5,"dummy","cur",457,416,383,576,4
"482",5,"dummy","cur",578,451,459,1020,4
"483",5,"dummy","cur",565,620,471,734,4
"484",5,"dummy","cur",154,392,484,820,4
"485",5,"dummy","cur",370,439,446,751,4
"486",5,"dummy","cur",512,477,507,623,4
"487",5,"dummy","cur",222,508,342,471,4
"488",5,"dummy","cur",372,561,539,1211,4
"489",5,"dummy","cur",278,344,417,519,4
"490",5,"dummy","cur",743,348,614,900,4
"491",5,"dummy","cur",572,622,519,1348,4
"492",5,"dummy","cur",225,525,574,689,4
"493",5,"dummy","cur",444,369,474,737,4
"494",5,"dummy","cur",520,482,540,849,4
"495",5,"dummy","cur",330,485,535,937,4
"496",5,"dummy","cur",537,676,347,1131,4
"497",5,"dummy","cur",48,486,456,891,4
"498",5,"dummy","cur",253,444,462,1028,4
"499",5,"dummy","cur",545,584,588,650,4
"500",5,"dummy","cur",541,499,472,780,4
"501",5,"dummy","cur",428,317,524,1153,4
"502",5,"dummy","cur",95,542,516,1210,4
"503",5,"dummy","cur",212,292,376,738,4
"504",5,"dummy","cur",350,447,517,645,4
"505",5,"dummy","cur",344,437,513,1018,4
"506",5,"dummy","cur",487,311,574,811,4
"507",5,"dummy","cur",565,371,648,509,4
"508",5,"dummy","cur",561,618,427,800,4
"509",5,"dummy","cur",594,530,640,452,4
"510",5,"dummy","cur",407,251,566,1017,4
"511",5,"dummy","cur",174,531,484,1226,4
"512",5,"dummy","cur",349,392,502,744,4
"513",5,"dummy","cur",432,469,576,569,4
"514",5,"dummy","cur",310,553,561,935,4
"515",5,"dummy","cur",7,421,538,889,4
"516",5,"dummy","cur",487,637,585,724,4
"517",5,"dummy","cur",685,522,496,965,4
"518",5,"dummy","cur",301,637,529,1039,4
"519",5,"dummy","cur",823,626,592,515,4
"520",5,"dummy","cur",594,529,414,1365,4
"521",5,"dummy","cur",497,437,579,664,4
"522",5,"dummy","cur",790,458,558,1336,4
"523",5,"dummy","cur",62,517,499,731,4
"524",5,"dummy","cur",310,542,509,1181,4
"525",5,"dummy","cur",546,335,586,1029,4
"526",5,"dummy","cur",7,480,506,515,4
"527",5,"dummy","cur",310,499,539,884,4
"528",5,"dummy","cur",21,373,465,874,4
"529",5,"dummy","cur",132,455,334,791,4
"530",5,"dummy","cur",475,446,580,1214,4
"531",5,"dummy","cur",264,415,484,760,4
"532",5,"dummy","cur",404,406,550,591,4
"533",5,"dummy","cur",294,529,409,557,4
"534",5,"dummy","cur",753,616,466,462,4
"535",5,"dummy","cur",336,400,510,912,4
"536",5,"dummy","cur",-117,289,469,1039,4
"537",5,"dummy","cur",436,491,491,1169,4
"538",5,"dummy","cur",82,339,512,773,4
"539",5,"dummy","cur",296,625,554,189,4
"540",5,"dummy","cur",262,514,510,969,4
"541",5,"dummy","cur",224,361,439,764,4
"542",5,"dummy","cur",438,453,422,584,4
"543",5,"dummy","cur",466,497,508,328,4
"544",5,"dummy","cur",409,466,605,485,4
"545",5,"dummy","cur",170,579,402,492,4
"546",5,"dummy","cur",455,532,569,893,4
"547",5,"dummy","cur",720,503,478,577,4
"548",5,"dummy","cur",555,712,536,873,4
"549",5,"dummy","cur",273,565,558,496,4
"550",5,"dummy","cur",287,463,518,440,4
"551",5,"dummy","cur",262,427,378,901,4
"552",5,"dummy","cur",643,332,534,963,4
"553",5,"dummy","cur",297,386,582,914,4
"554",5,"dummy","cur",703,453,524,795,4
"555",5,"dummy","cur",878,222,442,779,4
"556",5,"dummy","cur",394,364,550,996,4
"557",5,"dummy","cur",384,511,449,648,4
"558",5,"dummy","cur",12,571,496,817,4
"559",5,"dummy","cur",791,530,496,776,4
"560",5,"dummy","cur",169,571,622,717,4
"561",5,"dummy","cur",250,461,605,352,4
"562",5,"dummy","cur",164,402,469,699,4
"563",5,"dummy","cur",806,526,565,608,4
"564",5,"dummy","cur",371,475,519,550,4
"565",5,"dummy","cur",611,470,577,544,4
"566",5,"dummy","cur",377,499,552,1175,4
"567",5,"dummy","cur",535,357,551,706,4
"568",5,"dummy","cur",658,619,595,836,4
"569",5,"dummy","cur",398,346,433,971,4
"570",5,"dummy","cur",308,554,525,791,4
"571",5,"dummy","cur",527,530,739,604,4
"572",5,"dummy","cur",487,461,579,581,4
"573",5,"dummy","cur",439,370,554,829,4
"574",5,"dummy","cur",312,451,442,726,4
"575",5,"dummy","cur",470,536,532,720,4
"576",5,"dummy","cur",480,610,532,353,4
"577",5,"dummy","cur",632,652,478,860,4
"578",5,"dummy","cur",100,360,470,562,4
"579",5,"dummy","cur",654,327,573,641,4
"580",5,"dummy","cur",369,641,511,1050,4
"581",5,"dummy","cur",286,590,525,736,4
"582",5,"dummy","cur",509,614,572,1056,4
"583",5,"dummy","cur",390,497,448,776,4
"584",5,"dummy","cur",376,423,466,853,4
"585",5,"dummy","cur",165,412,502,490,4
"586",5,"dummy","cur",562,415,355,754,4
"587",5,"dummy","cur",347,493,594,666,4
"588",5,"dummy","cur",597,454,456,601,4
"589",5,"dummy","cur",556,307,369,645,4
"590",5,"dummy","cur",382,385,497,607,4
"591",5,"dummy","cur",456,376,408,1036,4
"592",5,"dummy","cur",665,522,599,864,4
"593",5,"dummy","cur",263,439,548,1123,4
"594",5,"dummy","cur",392,460,466,1227,4
"595",5,"dummy","cur",497,640,532,613,4
"596",5,"dummy","cur",518,448,448,905,4
"597",5,"dummy","cur",8,350,456,247,4
"598",5,"dummy","cur",180,552,497,926,4
"599",5,"dummy","cur",81,447,501,582,4
"600",5,"dummy","cur",275,440,420,939,4
"601",5,"dummy","cur",487,410,375,258,4
"602",5,"dummy","cur",522,396,557,1338,4
