"week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
5,56,"ina",150,414,517,330,3
5,56,"ina",0,376,532,894,3
5,56,"ina",281,481,446,509,3
5,56,"ina",426,511,501,795,3
5,56,"ina",252,367,505,841,3
5,56,"ina",245,566,585,847,3
5,56,"ina",694,384,568,935,3
5,56,"ina",194,303,442,465,3
5,56,"ina",225,535,523,736,3
5,56,"ina",93,588,552,836,3
5,56,"ina",168,321,484,477,3
5,56,"ina",596,538,392,582,3
5,56,"ina",148,452,593,819,3
5,56,"ina",42,494,491,833,3
5,56,"ina",350,683,530,849,3
5,56,"ina",349,461,489,713,3
5,56,"ina",235,523,413,782,3
5,56,"ina",784,420,639,618,3
5,56,"ina",153,378,458,397,3
5,56,"ina",116,486,463,556,3
5,56,"ina",694,340,579,645,3
5,57,"ina",220,391,484,811,3
5,57,"ina",143,587,330,316,3
5,57,"ina",173,445,387,381,3
5,57,"ina",263,353,417,751,3
5,57,"ina",12,276,508,846,3
5,57,"ina",394,362,606,930,3
5,57,"ina",566,446,383,392,3
5,57,"ina",126,326,413,495,3
5,57,"ina",217,311,400,795,3
5,57,"ina",310,308,575,938,3
5,57,"ina",237,491,370,364,3
5,46,"ina",219,375,391,565,1
5,46,"ina",152,364,423,725,1
5,46,"ina",500,356,422,620,1
5,46,"ina",279,466,425,855,1
5,46,"ina",323,417,408,896,1
5,46,"ina",108,439,436,832,1
5,46,"ina",240,323,430,860,1
5,46,"ina",171,423,418,381,1
5,46,"ina",200,320,273,831,1
5,46,"ina",125,700,233,878,1
5,46,"ina",46,387,436,740,1
5,46,"ina",240,307,439,400,1
5,46,"ina",249,403,279,307,1
5,46,"ina",140,318,270,725,1
5,46,"ina",108,431,343,469,1
5,46,"ina",232,508,303,616,1
5,46,"ina",699,434,327,729,1
5,46,"ina",638,422,363,829,1
5,46,"ina",657,365,377,414,1
5,46,"ina",150,283,560,882,1
5,46,"ina",122,415,367,351,1
5,46,"ina",490,641,356,816,1
5,46,"ina",152,400,374,365,1
5,46,"ina",182,362,308,559,1
5,46,"ina",719,633,318,569,1
5,46,"ina",285,329,354,894,1
5,46,"ina",315,351,362,735,1
5,46,"ina",291,497,383,691,1
5,46,"ina",259,318,339,784,1
5,46,"ina",694,446,367,726,1
5,46,"ina",111,399,285,442,1
5,46,"ina",323,432,285,635,1
5,46,"ina",220,408,306,432,1
5,46,"ina",196,365,362,432,1
5,46,"ina",88,295,399,797,1
5,46,"ina",256,367,369,463,1
5,46,"ina",413,309,382,877,1
5,46,"ina",155,380,554,503,1
5,46,"ina",573,494,369,756,1
5,46,"ina",273,455,296,649,1
5,46,"ina",174,302,480,538,1
5,46,"ina",489,287,323,736,1
5,46,"ina",241,351,404,440,1
5,46,"ina",105,313,270,868,1
5,46,"ina",248,423,313,487,1
5,46,"ina",146,403,474,533,1
5,46,"ina",257,407,492,761,1
5,46,"ina",243,323,332,821,1
5,46,"ina",0,355,334,896,1
5,46,"ina",522,457,270,653,1
5,46,"ina",205,547,314,836,1
5,46,"ina",675,340,312,878,1
5,46,"ina",166,506,284,863,1
5,46,"ina",189,469,379,775,1
5,46,"ina",296,595,435,601,1
5,46,"ina",53,481,492,903,1
5,46,"ina",284,499,387,867,1
5,46,"ina",230,326,433,370,1
5,46,"ina",221,475,322,772,1
5,46,"ina",459,480,305,724,1
5,46,"ina",190,600,299,345,1
5,46,"ina",182,376,408,352,1
5,46,"ina",186,313,462,437,1
5,46,"ina",0,352,440,858,1
5,46,"ina",37,293,358,847,1
5,46,"ina",227,321,373,845,1
5,46,"ina",138,396,348,377,1
5,46,"ina",278,317,302,413,1
5,46,"ina",242,560,326,810,1
5,46,"ina",101,490,288,312,1
5,46,"ina",228,480,468,923,1
5,46,"ina",141,381,299,870,1
5,46,"ina",212,341,281,628,1
5,46,"ina",239,319,463,584,1
5,46,"ina",104,325,343,285,1
5,46,"ina",417,290,322,893,1
5,46,"ina",67,351,387,326,1
5,46,"ina",315,532,286,404,1
5,46,"ina",95,388,309,824,1
5,46,"ina",233,339,266,858,1
5,46,"ina",378,516,286,767,1
5,46,"ina",122,278,303,762,1
5,46,"ina",608,519,302,719,1
5,46,"ina",194,385,407,868,1
5,46,"ina",291,325,265,783,1
5,46,"ina",618,373,325,808,1
5,46,"ina",179,547,458,375,1
5,46,"ina",149,331,318,789,1
5,46,"ina",108,551,428,882,1
5,46,"ina",249,355,421,857,1
5,46,"ina",198,435,406,548,1
5,46,"ina",34,540,434,874,1
5,46,"ina",147,394,303,348,1
5,46,"ina",257,356,503,379,1
5,46,"ina",177,399,385,859,1
5,46,"ina",144,385,443,406,1
5,46,"ina",107,479,401,936,1
5,46,"ina",208,562,291,441,1
5,46,"ina",236,290,424,881,1
5,46,"ina",117,568,301,815,1
5,46,"ina",513,442,316,852,1
5,46,"ina",329,305,393,849,1
5,46,"ina",329,311,386,834,1
5,46,"ina",100,391,283,643,1
5,46,"ina",425,373,396,460,1
5,46,"ina",306,333,464,752,1
5,46,"ina",252,476,283,545,1
5,46,"ina",261,362,300,521,1
5,46,"ina",293,391,307,879,1
5,46,"ina",160,326,427,468,1
5,46,"ina",256,372,360,364,1
5,46,"ina",251,389,487,747,1
5,46,"ina",204,376,282,299,1
5,46,"ina",88,576,424,782,1
5,46,"ina",93,355,322,324,1
5,46,"ina",154,343,393,871,1
5,46,"ina",426,392,442,912,1
5,46,"ina",618,389,347,341,1
5,46,"ina",147,503,288,837,1
5,46,"ina",149,451,372,800,1
5,46,"ina",650,545,503,809,1
5,46,"ina",62,282,411,850,1
5,46,"ina",497,573,277,659,1
5,46,"ina",143,288,392,502,1
5,46,"ina",645,284,273,862,1
5,45,"rb",327,413,552,904,2
5,45,"rb",413,306,503,779,2
5,45,"rb",687,603,446,908,2
5,56,"rb",157,373,420,744,2
5,56,"rb",406,570,485,743,2
5,46,"rb",358,447,436,703,0
5,46,"rb",712,757,347,684,0
5,46,"rb",80,310,322,779,0
5,46,"rb",306,476,447,687,0
5,46,"rb",169,620,296,383,0
5,46,"rb",475,431,312,772,0
5,46,"rb",373,467,305,540,0
5,46,"rb",571,349,269,348,0
5,46,"rb",487,541,343,667,0
5,46,"rb",87,289,267,776,0
5,46,"rb",296,264,435,924,0
5,46,"rb",84,431,367,850,0
5,46,"rb",282,310,308,780,0
5,46,"rb",104,305,261,822,0
5,46,"rb",224,712,436,330,0
5,46,"rb",415,742,404,738,0
5,46,"rb",662,387,305,725,0
5,46,"rb",209,395,355,879,0
5,46,"rb",222,619,366,382,0
5,46,"rb",610,456,290,455,0
5,46,"rb",312,288,357,744,0
5,46,"rb",274,477,342,780,0
5,46,"rb",251,447,289,724,0
5,46,"rb",240,672,275,754,0
5,46,"rb",245,391,303,449,0
5,46,"rb",337,401,278,844,0
5,46,"rb",681,507,377,426,0
5,46,"rb",748,517,414,960,0
5,46,"rb",455,693,599,709,0
5,46,"rb",293,395,272,685,0
6,45,"cur",675,421,489,813,4
6,45,"cur",671,485,492,839,4
6,45,"cur",686,469,371,666,4
6,45,"cur",701,358,523,827,4
6,45,"cur",657,402,470,818,4
6,45,"cur",668,377,494,825,4
6,45,"cur",711,519,435,680,4
6,45,"cur",652,457,471,804,4
6,45,"cur",594,662,503,757,4
6,56,"cur",678,512,511,858,4
6,56,"cur",558,352,415,635,4
6,56,"cur",719,457,385,707,4
6,56,"cur",642,393,394,744,4
6,56,"cur",644,425,472,804,4
6,56,"cur",631,450,464,801,4
6,56,"cur",623,531,440,789,4
6,56,"cur",530,649,423,736,4
6,56,"cur",635,384,451,778,4
6,56,"cur",598,326,422,780,4
6,57,"cur",587,415,371,715,4
6,57,"cur",651,464,467,826,4
6,57,"cur",612,563,391,303,4
6,57,"cur",642,518,450,825,4
6,57,"cur",527,304,356,688,4
6,57,"cur",523,349,325,591,4
6,57,"cur",524,383,333,640,4
6,57,"cur",514,392,300,543,4
6,57,"cur",559,622,332,616,4
6,57,"cur",654,412,426,824,4
6,57,"cur",530,351,314,646,4
6,57,"cur",557,479,308,308,4
6,57,"cur",572,547,390,732,4
6,57,"cur",528,423,327,602,4
6,57,"cur",692,517,451,802,4
6,57,"cur",705,493,445,827,4
6,57,"cur",608,385,452,801,4
6,57,"cur",547,460,368,685,4
6,57,"cur",554,464,350,690,4
6,57,"cur",494,435,299,303,4
6,57,"cur",615,415,430,803,4
6,57,"cur",599,374,396,761,4
6,57,"cur",651,355,415,809,4
6,57,"cur",632,404,425,832,4
6,57,"cur",584,340,346,737,4
6,57,"cur",586,384,345,734,4
6,57,"cur",614,396,416,786,4
6,57,"cur",606,498,366,756,4
6,57,"cur",619,367,392,792,4
6,57,"cur",620,423,434,784,4
6,57,"cur",621,430,396,779,4
6,57,"cur",639,383,403,789,4
6,57,"cur",664,397,362,694,4
6,57,"cur",640,367,443,823,4
6,57,"cur",552,338,318,624,4
6,57,"cur",576,424,312,527,4
6,57,"cur",609,581,413,785,4
6,57,"cur",574,408,379,756,4
6,57,"cur",636,389,399,788,4
6,57,"cur",556,546,346,675,4
6,57,"cur",568,363,436,726,4
6,57,"cur",669,361,490,853,4
6,57,"cur",679,403,396,787,4
6,57,"cur",626,508,409,811,4
6,57,"cur",677,512,465,834,4
6,57,"cur",589,411,388,782,4
6,57,"cur",599,456,350,662,4
6,57,"cur",637,409,411,765,4
6,57,"cur",643,382,450,796,4
6,57,"cur",585,436,411,785,4
6,57,"cur",643,345,386,764,4
6,45,"ina",403,545,544,373,3
6,45,"ina",625,481,395,794,3
6,45,"ina",420,411,327,377,3
6,45,"ina",553,478,461,728,3
6,45,"ina",388,348,425,312,3
6,45,"ina",638,521,530,841,3
6,45,"ina",395,448,392,489,3
6,45,"ina",647,483,451,824,3
6,45,"ina",394,556,487,365,3
6,45,"ina",681,447,474,850,3
6,45,"ina",442,483,465,385,3
6,45,"ina",376,459,338,279,3
6,45,"ina",651,550,395,610,3
6,45,"ina",645,505,549,842,3
6,45,"ina",670,390,500,841,3
6,45,"ina",550,479,372,725,3
6,45,"ina",665,499,538,857,3
6,56,"ina",534,356,469,728,3
6,56,"ina",375,376,345,432,3
6,56,"ina",674,358,487,852,3
6,56,"ina",682,530,486,857,3
6,56,"ina",592,474,425,767,3
6,56,"ina",457,513,362,447,3
6,56,"ina",356,502,336,269,3
6,56,"ina",353,451,381,330,3
6,56,"ina",411,370,440,279,3
6,56,"ina",350,515,405,327,3
6,56,"ina",609,485,374,732,3
6,56,"ina",398,583,504,313,3
6,56,"ina",432,492,443,388,3
6,57,"ina",603,453,382,813,3
6,57,"ina",478,437,332,517,3
6,57,"ina",433,565,321,580,3
6,57,"ina",501,521,373,707,3
6,57,"ina",596,532,423,797,3
6,57,"ina",651,383,483,839,3
6,57,"ina",541,495,339,696,3
6,57,"ina",609,364,402,783,3
6,57,"ina",547,684,328,665,3
6,57,"ina",519,640,379,694,3
6,57,"ina",601,499,398,727,3
6,57,"ina",413,501,322,336,3
6,57,"ina",394,339,341,401,3
6,57,"ina",634,446,436,826,3
6,57,"ina",519,376,309,342,3
6,57,"ina",385,375,308,419,3
6,57,"ina",490,604,320,603,3
6,57,"ina",376,367,290,305,3
6,57,"ina",564,379,367,715,3
6,57,"ina",494,483,329,414,3
6,46,"ina",575,514,284,296,1
6,46,"ina",632,465,443,812,1
6,46,"ina",606,601,397,798,1
6,46,"ina",495,478,399,646,1
6,46,"ina",596,447,424,750,1
6,46,"ina",598,377,372,504,1
6,46,"ina",583,437,384,597,1
6,46,"ina",349,518,294,343,1
6,46,"ina",426,379,427,373,1
6,46,"ina",633,331,461,834,1
6,46,"ina",644,470,480,824,1
6,46,"ina",617,420,396,803,1
6,46,"ina",415,408,422,654,1
6,46,"ina",403,534,324,349,1
6,46,"ina",327,565,369,307,1
6,46,"ina",403,377,302,552,1
6,46,"ina",582,504,383,758,1
6,46,"ina",412,374,286,394,1
6,46,"ina",419,493,306,468,1
6,46,"ina",384,381,366,316,1
6,46,"ina",713,524,339,695,1
6,46,"ina",494,384,376,350,1
6,46,"ina",583,535,403,758,1
6,46,"ina",393,338,389,408,1
6,46,"ina",536,500,493,320,1
6,46,"ina",601,479,396,771,1
6,46,"ina",679,466,448,774,1
6,46,"ina",413,474,349,333,1
6,46,"ina",604,426,431,770,1
6,46,"ina",288,341,429,409,1
6,46,"ina",378,371,324,304,1
6,46,"ina",716,424,434,803,1
6,46,"ina",417,401,386,464,1
6,46,"ina",358,555,283,317,1
6,46,"ina",453,440,325,615,1
6,46,"ina",503,438,310,645,1
6,46,"ina",362,434,371,384,1
6,46,"ina",441,527,332,382,1
6,46,"ina",593,547,376,755,1
6,46,"ina",571,430,416,775,1
6,46,"ina",435,501,332,474,1
6,46,"ina",603,511,441,801,1
6,46,"ina",407,426,328,653,1
6,46,"ina",366,487,349,329,1
6,46,"ina",486,456,367,671,1
6,46,"ina",426,373,303,569,1
6,46,"ina",538,415,367,717,1
6,46,"ina",477,399,400,668,1
6,46,"ina",481,451,376,691,1
6,46,"ina",601,409,420,780,1
6,46,"ina",429,380,352,367,1
6,46,"ina",413,422,285,338,1
6,46,"ina",364,388,422,318,1
6,46,"ina",509,399,335,614,1
6,46,"ina",603,416,478,790,1
6,46,"ina",360,461,270,514,1
6,46,"ina",649,404,455,836,1
6,46,"ina",337,386,357,388,1
6,46,"ina",368,424,375,382,1
6,46,"ina",454,402,346,602,1
6,46,"ina",321,400,312,271,1
6,46,"ina",274,399,319,367,1
6,46,"ina",364,471,354,441,1
6,46,"ina",445,353,326,613,1
6,46,"ina",398,558,370,477,1
6,46,"ina",560,461,341,739,1
6,46,"ina",530,552,403,689,1
6,46,"ina",607,428,467,801,1
6,46,"ina",368,380,345,354,1
6,46,"ina",555,384,428,745,1
6,46,"ina",549,536,389,721,1
6,46,"ina",590,353,386,755,1
6,46,"ina",399,393,414,335,1
6,46,"ina",463,463,329,263,1
6,46,"ina",569,578,377,699,1
6,46,"ina",581,499,461,779,1
6,46,"ina",407,541,454,425,1
6,46,"ina",415,377,387,421,1
6,46,"ina",653,510,493,829,1
6,46,"ina",391,375,300,266,1
6,46,"ina",676,439,386,755,1
6,46,"ina",523,565,358,462,1
6,46,"ina",521,588,468,665,1
6,46,"ina",548,422,395,734,1
6,46,"ina",578,366,480,734,1
6,46,"ina",444,607,505,584,1
6,46,"ina",513,475,320,320,1
6,46,"ina",603,448,393,731,1
6,46,"ina",513,367,513,705,1
6,45,"rb",557,427,419,764,2
6,45,"rb",529,358,360,284,2
6,45,"rb",540,410,422,705,2
6,45,"rb",400,472,446,358,2
6,45,"rb",500,419,415,560,2
6,45,"rb",457,455,396,353,2
6,45,"rb",566,354,478,779,2
6,45,"rb",332,376,524,299,2
6,45,"rb",509,463,385,399,2
6,45,"rb",515,477,390,339,2
6,56,"rb",504,456,389,359,2
6,56,"rb",474,455,316,241,2
6,56,"rb",557,516,415,748,2
6,56,"rb",446,401,490,266,2
6,56,"rb",473,431,346,458,2
6,56,"rb",320,419,352,252,2
6,56,"rb",666,489,490,265,2
6,57,"rb",643,389,472,831,2
6,57,"rb",535,407,361,708,2
6,57,"rb",602,378,382,750,2
6,57,"rb",534,403,424,618,2
6,57,"rb",543,419,432,697,2
6,57,"rb",538,443,349,633,2
6,57,"rb",513,572,300,309,2
6,57,"rb",662,400,359,590,2
6,57,"rb",654,677,580,210,2
6,57,"rb",614,419,414,780,2
6,57,"rb",527,374,332,677,2
6,57,"rb",560,424,368,699,2
6,57,"rb",583,396,388,761,2
6,57,"rb",461,419,335,347,2
6,57,"rb",580,426,403,716,2
6,46,"rb",564,422,394,686,0
6,46,"rb",670,624,424,797,0
6,46,"rb",666,520,459,841,0
6,46,"rb",435,527,413,572,0
6,46,"rb",581,367,370,727,0
6,46,"rb",569,340,463,662,0
6,46,"rb",458,457,352,310,0
6,46,"rb",564,378,394,725,0
6,46,"rb",365,386,317,431,0
6,46,"rb",574,423,409,768,0
6,46,"rb",553,415,393,626,0
6,46,"rb",524,452,266,346,0
6,46,"rb",555,463,361,719,0
6,46,"rb",467,466,310,523,0
6,46,"rb",559,488,397,699,0
6,46,"rb",491,415,368,491,0
6,46,"rb",433,422,303,345,0
6,46,"rb",660,431,273,472,0
6,46,"rb",415,406,318,484,0
6,46,"rb",497,558,345,331,0
6,46,"rb",435,606,414,320,0
6,46,"rb",505,597,363,660,0
6,46,"rb",487,437,344,544,0
6,46,"rb",408,482,342,216,0
6,46,"rb",462,387,345,336,0
6,46,"rb",518,408,442,292,0
6,46,"rb",630,413,426,780,0
6,46,"rb",561,450,338,472,0
7,45,"cur",596,376,516,783,4
7,45,"cur",738,327,424,788,4
7,45,"cur",643,361,616,919,4
7,56,"cur",520,289,266,755,4
7,56,"cur",487,381,309,760,4
7,56,"cur",703,508,277,729,4
7,56,"cur",286,306,274,588,4
7,56,"cur",543,311,297,786,4
7,56,"cur",517,308,377,423,4
7,56,"cur",431,429,319,360,4
7,56,"cur",579,366,245,545,4
7,56,"cur",342,488,287,614,4
7,56,"cur",562,308,299,797,4
7,56,"cur",291,469,262,520,4
7,56,"cur",362,321,264,341,4
7,56,"cur",478,471,312,699,4
7,56,"cur",461,316,276,419,4
7,56,"cur",398,292,289,462,4
7,56,"cur",423,283,257,735,4
7,56,"cur",616,299,289,773,4
7,56,"cur",499,410,307,806,4
7,56,"cur",555,550,251,468,4
7,56,"cur",452,434,271,535,4
7,56,"cur",365,602,271,483,4
7,56,"cur",518,348,284,811,4
7,56,"cur",503,347,274,584,4
7,56,"cur",693,489,265,433,4
7,56,"cur",573,334,324,749,4
7,56,"cur",744,473,295,373,4
7,56,"cur",520,403,261,820,4
7,56,"cur",609,368,269,770,4
7,56,"cur",448,434,261,772,4
7,56,"cur",346,404,242,661,4
7,56,"cur",606,285,287,875,4
7,56,"cur",521,544,308,601,4
7,56,"cur",741,362,290,780,4
7,56,"cur",543,609,262,291,4
7,56,"cur",662,326,280,610,4
7,56,"cur",410,285,252,386,4
7,56,"cur",193,586,276,533,4
7,56,"cur",412,578,245,537,4
7,56,"cur",757,513,283,400,4
7,56,"cur",336,335,325,624,4
7,56,"cur",432,393,250,524,4
7,56,"cur",371,316,265,539,4
7,56,"cur",416,308,275,749,4
7,56,"cur",589,517,271,726,4
7,56,"cur",510,337,255,780,4
7,56,"cur",373,359,290,715,4
7,56,"cur",332,402,258,593,4
7,56,"cur",494,311,264,663,4
7,56,"cur",490,301,258,734,4
7,56,"cur",395,705,246,621,4
7,56,"cur",690,322,228,799,4
7,56,"cur",513,481,354,259,4
7,56,"cur",378,359,276,297,4
7,56,"cur",280,291,289,635,4
7,56,"cur",359,516,299,389,4
7,56,"cur",545,293,318,772,4
7,56,"cur",525,317,283,688,4
7,56,"cur",474,365,276,606,4
7,56,"cur",270,315,256,562,4
7,56,"cur",841,316,274,695,4
7,56,"cur",463,434,269,364,4
7,56,"cur",649,343,306,854,4
7,56,"cur",415,290,338,818,4
7,56,"cur",546,396,299,788,4
7,56,"cur",398,409,283,609,4
7,56,"cur",374,351,265,496,4
7,56,"cur",479,299,284,628,4
7,56,"cur",582,337,298,761,4
7,56,"cur",358,413,272,722,4
7,56,"cur",400,336,254,572,4
7,56,"cur",420,327,339,373,4
7,56,"cur",564,354,302,783,4
7,56,"cur",704,364,268,629,4
7,56,"cur",517,386,260,624,4
7,56,"cur",472,439,271,352,4
7,56,"cur",509,310,298,681,4
7,56,"cur",470,353,396,586,4
7,56,"cur",426,287,263,526,4
7,56,"cur",541,627,293,489,4
7,56,"cur",333,373,284,328,4
7,56,"cur",497,303,270,579,4
7,56,"cur",284,280,273,591,4
7,56,"cur",630,458,262,290,4
7,56,"cur",560,538,310,821,4
7,56,"cur",349,684,298,357,4
7,56,"cur",582,320,230,736,4
7,56,"cur",214,553,274,637,4
7,56,"cur",562,450,291,410,4
7,56,"cur",526,297,338,864,4
7,56,"cur",447,395,272,682,4
7,56,"cur",445,351,272,684,4
7,56,"cur",374,411,264,541,4
7,56,"cur",450,328,281,397,4
7,56,"cur",526,397,264,424,4
7,56,"cur",509,342,290,739,4
7,56,"cur",203,284,263,324,4
7,56,"cur",572,380,270,651,4
7,56,"cur",481,481,287,367,4
7,56,"cur",544,374,320,772,4
7,56,"cur",573,307,247,289,4
7,56,"cur",396,389,294,578,4
7,56,"cur",372,441,262,560,4
7,56,"cur",637,467,266,543,4
7,56,"cur",388,310,272,545,4
7,56,"cur",345,425,241,597,4
7,56,"cur",436,325,260,497,4
7,56,"cur",443,445,247,793,4
7,56,"cur",676,309,283,334,4
7,56,"cur",524,343,234,781,4
7,56,"cur",631,508,269,438,4
7,56,"cur",623,327,344,539,4
7,56,"cur",386,341,274,792,4
7,56,"cur",439,322,349,651,4
7,56,"cur",493,275,336,834,4
7,56,"cur",577,348,268,774,4
7,56,"cur",504,371,254,756,4
7,56,"cur",517,320,282,795,4
7,56,"cur",384,536,290,583,4
7,56,"cur",232,578,274,511,4
7,56,"cur",579,305,234,696,4
7,56,"cur",375,590,290,583,4
7,56,"cur",585,276,269,836,4
7,56,"cur",557,350,412,437,4
7,56,"cur",594,323,286,776,4
7,56,"cur",318,318,258,417,4
7,56,"cur",295,306,246,622,4
7,56,"cur",665,348,255,807,4
7,56,"cur",616,282,390,781,4
7,56,"cur",766,408,269,398,4
7,56,"cur",562,316,293,861,4
7,56,"cur",524,296,283,759,4
7,56,"cur",346,509,257,526,4
7,56,"cur",469,294,298,739,4
7,56,"cur",433,288,311,798,4
7,56,"cur",519,428,304,603,4
7,56,"cur",720,318,261,338,4
7,56,"cur",574,428,267,315,4
7,56,"cur",355,316,260,465,4
7,56,"cur",457,307,294,606,4
7,56,"cur",425,316,269,512,4
7,56,"cur",486,290,292,675,4
7,56,"cur",622,350,269,775,4
7,56,"cur",400,618,244,473,4
7,56,"cur",533,465,311,629,4
7,56,"cur",523,340,274,474,4
7,56,"cur",538,397,315,310,4
7,56,"cur",677,451,258,653,4
7,56,"cur",559,339,249,836,4
7,56,"cur",540,434,346,439,4
7,56,"cur",405,306,296,697,4
7,56,"cur",486,311,267,448,4
7,56,"cur",447,392,260,602,4
7,56,"cur",522,349,281,336,4
7,56,"cur",475,276,322,737,4
7,56,"cur",538,471,257,797,4
7,56,"cur",586,296,308,831,4
7,56,"cur",590,486,280,389,4
7,56,"cur",293,563,266,641,4
7,56,"cur",415,598,343,355,4
7,56,"cur",614,269,356,893,4
7,56,"cur",290,418,273,297,4
7,56,"cur",382,291,300,784,4
7,56,"cur",433,511,265,422,4
7,56,"cur",364,319,262,721,4
7,56,"cur",344,443,264,443,4
7,56,"cur",550,312,374,727,4
7,56,"cur",534,293,399,760,4
7,56,"cur",318,458,277,320,4
7,56,"cur",216,355,277,416,4
7,56,"cur",556,323,254,530,4
7,56,"cur",586,309,299,837,4
7,57,"cur",568,475,301,738,4
7,57,"cur",451,627,444,694,4
7,57,"cur",603,315,461,865,4
7,57,"cur",613,504,436,845,4
7,57,"cur",572,538,379,725,4
7,57,"cur",572,411,337,815,4
7,57,"cur",701,500,401,702,4
7,57,"cur",531,336,401,815,4
7,57,"cur",482,399,427,847,4
7,57,"cur",470,350,340,654,4
7,57,"cur",526,334,463,707,4
7,57,"cur",586,393,357,809,4
7,45,"ina",287,340,567,470,3
7,45,"ina",446,386,446,833,3
7,45,"ina",566,402,410,862,3
7,45,"ina",550,344,607,855,3
7,45,"ina",324,521,490,617,3
7,45,"ina",587,455,543,875,3
7,45,"ina",618,338,431,785,3
7,56,"ina",672,384,318,301,3
7,56,"ina",433,408,290,355,3
7,56,"ina",80,476,287,401,3
7,56,"ina",155,497,288,321,3
7,56,"ina",130,438,301,322,3
7,56,"ina",216,459,303,325,3
7,56,"ina",90,339,302,390,3
7,56,"ina",223,368,333,330,3
7,56,"ina",417,395,278,610,3
7,56,"ina",147,326,275,310,3
7,56,"ina",98,448,268,324,3
7,56,"ina",169,591,274,281,3
7,56,"ina",567,504,277,725,3
7,56,"ina",165,443,273,376,3
7,56,"ina",355,433,254,627,3
7,56,"ina",251,355,287,335,3
7,56,"ina",237,358,392,319,3
7,56,"ina",112,336,332,389,3
7,56,"ina",596,321,316,852,3
7,56,"ina",107,452,289,328,3
7,56,"ina",254,434,268,270,3
7,56,"ina",131,410,342,412,3
7,56,"ina",381,319,310,751,3
7,56,"ina",728,354,290,306,3
7,56,"ina",139,406,246,273,3
7,56,"ina",441,378,330,383,3
7,56,"ina",101,352,293,310,3
7,56,"ina",245,308,312,391,3
7,56,"ina",196,560,254,252,3
7,56,"ina",660,441,305,562,3
7,56,"ina",335,509,302,368,3
7,56,"ina",521,299,258,842,3
7,56,"ina",223,593,303,356,3
7,56,"ina",155,565,324,318,3
7,56,"ina",219,380,276,321,3
7,56,"ina",496,283,312,848,3
7,56,"ina",169,368,279,306,3
7,56,"ina",180,315,423,463,3
7,56,"ina",311,327,272,743,3
7,56,"ina",252,398,297,552,3
7,56,"ina",117,571,326,309,3
7,56,"ina",505,321,253,691,3
7,56,"ina",308,366,263,635,3
7,56,"ina",204,405,252,597,3
7,56,"ina",588,518,270,580,3
7,56,"ina",285,412,262,548,3
7,56,"ina",433,337,294,783,3
7,56,"ina",242,413,258,375,3
7,56,"ina",431,310,254,668,3
7,56,"ina",365,378,251,738,3
7,56,"ina",231,413,320,314,3
7,56,"ina",128,347,301,348,3
7,56,"ina",72,480,310,343,3
7,56,"ina",124,561,266,384,3
7,56,"ina",460,384,343,717,3
7,56,"ina",209,600,249,379,3
7,56,"ina",106,343,278,266,3
7,56,"ina",128,331,283,311,3
7,56,"ina",166,317,315,550,3
7,56,"ina",377,450,251,411,3
7,56,"ina",225,321,288,325,3
7,56,"ina",581,396,268,571,3
7,56,"ina",307,366,254,621,3
7,56,"ina",353,360,252,576,3
7,56,"ina",492,462,316,397,3
