"","ID","week","ind","type","KLRG1","CD25","CCR8","Ki67","type2"
"46","46",5,"dummy","cur",325,608,601,1092,4
"47","47",5,"dummy","cur",714,406,457,1218,4
"48","48",5,"dummy","cur",159,520,505,976,4
"49","49",5,"dummy","cur",491,632,440,718,4
"50","50",5,"dummy","cur",321,566,347,342,4
"51","51",5,"dummy","cur",695,472,562,601,4
"52","52",5,"dummy","cur",622,491,502,971,4
"53","53",5,"dummy","cur",406,386,511,895,4
"54","54",5,"dummy","cur",517,585,529,615,4
"55","55",5,"dummy","cur",562,521,592,701,4
"56","56",5,"dummy","cur",647,355,546,693,4
"57","57",5,"dummy","cur",623,343,512,536,4
"58","58",5,"dummy","cur",12,498,442,919,4
"59","59",5,"dummy","cur",518,683,566,1012,4
"60","60",5,"dummy","cur",482,469,480,864,4
"61","61",5,"dummy","cur",623,316,546,674,4
"62","62",5,"dummy","cur",346,606,503,611,4
"63","63",5,"dummy","cur",363,494,596,947,4
"64","64",5,"dummy","cur",677,606,536,603,4
"65","65",5,"dummy","cur",540,499,471,842,4
"66","66",5,"dummy","cur",344,576,416,332,4
"67","67",5,"dummy","cur",638,417,555,868,4
"68","68",5,"dummy","cur",525,562,499,451,4
"69","69",5,"dummy","cur",272,488,516,876,4
"70","70",5,"dummy","cur",83,393,552,991,4
"71","71",5,"dummy","cur",426,462,596,834,4
"72","72",5,"dummy","cur",535,684,415,876,4
"73","73",5,"dummy","cur",226,603,453,923,4
"74","74",5,"dummy","cur",749,404,421,849,4
"75","75",5,"dummy","cur",394,579,556,766,4
"76","76",5,"dummy","cur",394,487,469,1056,4
"77","77",5,"dummy","cur",218,438,581,866,4
"78","78",5,"dummy","cur",204,542,555,722,4
"79","79",5,"dummy","cur",396,288,457,577,4
"80","80",5,"dummy","cur",294,403,544,930,4
"81","81",5,"dummy","cur",-12,364,642,1156,4
"82","82",5,"dummy","cur",334,362,484,274,4
"83","83",5,"dummy","cur",451,620,454,879,4
"84","84",5,"dummy","cur",419,505,446,953,4
"85","85",5,"dummy","cur",-32,423,593,697,4
"86","86",5,"dummy","cur",333,549,504,545,4
"87","87",5,"dummy","cur",-21,428,512,1461,4
"88","88",5,"dummy","cur",430,445,620,965,4
"89","89",5,"dummy","cur",598,443,460,773,4
"90","90",5,"dummy","cur",386,401,447,663,4
"91","91",5,"dummy","cur",256,490,452,905,4
"92","92",5,"dummy","cur",517,464,547,553,4
"93","93",5,"dummy","cur",544,408,494,521,4
"94","94",5,"dummy","cur",514,622,476,1001,4
"95","95",5,"dummy","cur",244,573,539,561,4
"96","96",5,"dummy","cur",762,577,635,532,4
"97","97",5,"dummy","cur",468,337,387,650,4
"98","98",5,"dummy","cur",384,501,502,718,4
"99","99",5,"dummy","cur",-146,613,540,876,4
"100","100",5,"dummy","cur",261,431,485,818,4
"101","101",5,"dummy","cur",362,530,476,682,4
"102","102",5,"dummy","cur",58,404,453,864,4
"103","103",5,"dummy","cur",130,674,539,944,4
"104","104",5,"dummy","cur",115,423,524,234,4
"105","105",5,"dummy","cur",635,467,660,449,4
"106","106",5,"dummy","cur",368,269,489,928,4
"107","107",5,"dummy","cur",313,438,512,779,4
"108","108",5,"dummy","cur",450,476,461,997,4
"109","109",5,"dummy","cur",266,605,474,396,4
"110","110",5,"dummy","cur",178,556,406,1175,4
"111","111",5,"dummy","cur",218,546,609,693,4
"112","112",5,"dummy","cur",699,355,531,185,4
"113","113",5,"dummy","cur",489,309,488,845,4
"114","114",5,"dummy","cur",318,439,462,974,4
"115","115",5,"dummy","cur",284,344,464,926,4
"116","116",5,"dummy","cur",423,370,445,844,4
"117","117",5,"dummy","cur",373,375,513,441,4
"118","118",5,"dummy","cur",387,362,601,483,4
"119","119",5,"dummy","cur",612,422,616,519,4
"120","120",5,"dummy","cur",340,500,446,671,4
"121","121",5,"dummy","cur",270,377,495,786,4
"122","122",5,"dummy","cur",152,454,539,586,4
"123","123",5,"dummy","cur",433,402,558,1168,4
"124","124",5,"dummy","cur",118,351,625,651,4
"125","125",5,"dummy","cur",140,555,517,831,4
"126","126",5,"dummy","cur",353,596,460,603,4
"127","127",5,"dummy","cur",438,503,517,772,4
"128","128",5,"dummy","cur",663,500,532,998,4
"129","129",5,"dummy","cur",77,436,379,828,4
"130","130",5,"dummy","cur",208,435,489,972,4
"131","131",5,"dummy","cur",632,544,492,1085,4
"132","132",5,"dummy","cur",544,504,582,762,4
"133","133",5,"dummy","cur",471,625,683,629,4
"134","134",5,"dummy","cur",199,413,556,565,4
"135","135",5,"dummy","cur",279,509,591,606,4
"136","136",5,"dummy","cur",133,506,545,547,4
"137","137",5,"dummy","cur",311,716,518,995,4
"138","138",5,"dummy","cur",391,623,692,1054,4
"139","139",5,"dummy","cur",479,491,421,735,4
"140","140",5,"dummy","cur",663,683,431,676,4
"141","141",5,"dummy","cur",258,438,622,551,4
"142","142",5,"dummy","cur",378,417,620,1031,4
"143","143",5,"dummy","cur",603,667,583,413,4
"144","144",5,"dummy","cur",154,608,580,855,4
"145","145",5,"dummy","cur",124,564,526,901,4
"146","146",5,"dummy","cur",321,365,401,638,4
"147","147",5,"dummy","cur",223,553,566,933,4
"148","148",5,"dummy","cur",192,482,494,959,4
"149","149",5,"dummy","cur",363,486,442,406,4
"150","150",5,"dummy","cur",426,456,558,917,4
"151","151",5,"dummy","cur",386,247,412,760,4
"152","152",5,"dummy","cur",282,481,537,638,4
"153","153",5,"dummy","cur",167,491,408,619,4
"154","154",5,"dummy","cur",505,460,369,859,4
"155","155",5,"dummy","cur",441,371,528,940,4
"156","156",5,"dummy","cur",419,460,492,740,4
"157","157",5,"dummy","cur",265,445,405,168,4
"158","158",5,"dummy","cur",586,293,289,709,4
"159","159",5,"dummy","cur",536,602,529,574,4
"160","160",5,"dummy","cur",-28,571,467,521,4
"161","161",5,"dummy","cur",426,563,530,711,4
"162","162",5,"dummy","cur",257,509,577,639,4
"163","163",5,"dummy","cur",487,398,521,975,4
"164","164",5,"dummy","cur",464,426,607,942,4
"165","165",5,"dummy","cur",643,579,466,1091,4
"166","166",5,"dummy","cur",349,358,633,833,4
"167","167",5,"dummy","cur",518,468,535,902,4
"168","168",5,"dummy","cur",545,415,508,1154,4
"169","169",5,"dummy","cur",314,441,531,717,4
"170","170",5,"dummy","cur",143,547,463,736,4
"171","171",5,"dummy","cur",266,528,461,593,4
"172","172",5,"dummy","cur",303,399,302,951,4
"173","173",5,"dummy","cur",610,491,505,779,4
"174","174",5,"dummy","cur",310,433,459,978,4
"175","175",5,"dummy","cur",460,557,512,711,4
"176","176",5,"dummy","cur",221,503,370,773,4
"177","177",5,"dummy","cur",409,512,715,804,4
"178","178",5,"dummy","cur",292,508,322,958,4
"179","179",5,"dummy","cur",670,463,488,716,4
"180","180",5,"dummy","cur",333,348,545,467,4
"181","181",5,"dummy","cur",371,525,411,826,4
"182","182",5,"dummy","cur",603,354,411,805,4
"183","183",5,"dummy","cur",543,428,547,564,4
"184","184",5,"dummy","cur",574,572,587,968,4
"185","185",5,"dummy","cur",357,430,559,707,4
"186","186",5,"dummy","cur",391,560,602,511,4
"187","187",5,"dummy","cur",550,517,539,925,4
"188","188",5,"dummy","cur",382,278,488,975,4
"189","189",5,"dummy","cur",142,554,570,625,4
"190","190",5,"dummy","cur",433,391,668,866,4
"191","191",5,"dummy","cur",384,568,498,594,4
"192","192",5,"dummy","cur",66,522,597,935,4
"193","193",5,"dummy","cur",553,487,430,1014,4
"194","194",5,"dummy","cur",606,541,645,488,4
"195","195",5,"dummy","cur",144,620,386,815,4
"196","196",5,"dummy","cur",42,517,521,777,4
"197","197",5,"dummy","cur",149,483,547,681,4
"198","198",5,"dummy","cur",452,499,420,918,4
"199","199",5,"dummy","cur",286,527,451,689,4
"200","200",5,"dummy","cur",342,379,454,1301,4
"201","201",5,"dummy","cur",335,433,527,851,4
"202","202",5,"dummy","cur",672,425,506,889,4
"203","203",5,"dummy","cur",282,330,501,312,4
"204","204",5,"dummy","cur",-59,437,465,183,4
"205","205",5,"dummy","cur",436,585,340,751,4
"206","206",5,"dummy","cur",543,430,481,919,4
"207","207",5,"dummy","cur",716,548,514,483,4
"208","208",5,"dummy","cur",434,482,559,862,4
"209","209",5,"dummy","cur",279,452,402,692,4
"210","210",5,"dummy","cur",209,605,491,858,4
"211","211",5,"dummy","cur",249,369,599,558,4
"212","212",5,"dummy","cur",165,420,477,858,4
"213","213",5,"dummy","cur",708,378,552,696,4
"214","214",5,"dummy","cur",485,396,485,816,4
"215","215",5,"dummy","cur",618,465,510,685,4
"216","216",5,"dummy","cur",472,619,397,866,4
"217","217",5,"dummy","cur",489,658,538,964,4
"218","218",5,"dummy","cur",707,331,467,745,4
"219","219",5,"dummy","cur",604,425,508,509,4
"220","220",5,"dummy","cur",130,484,541,538,4
"221","221",5,"dummy","cur",309,490,438,356,4
"222","222",5,"dummy","cur",430,516,472,911,4
"223","223",5,"dummy","cur",120,546,576,850,4
"224","224",5,"dummy","cur",355,509,483,1185,4
"225","225",5,"dummy","cur",190,569,552,599,4
"226","226",5,"dummy","cur",543,485,422,546,4
"227","227",5,"dummy","cur",411,498,455,681,4
"228","228",5,"dummy","cur",281,581,643,647,4
"229","229",5,"dummy","cur",505,659,498,573,4
"230","230",5,"dummy","cur",180,479,500,660,4
"231","231",5,"dummy","cur",522,421,544,573,4
"232","232",5,"dummy","cur",360,410,521,482,4
"233","233",5,"dummy","cur",486,392,544,807,4
"234","234",5,"dummy","cur",593,671,486,576,4
"235","235",5,"dummy","cur",501,744,549,983,4
"236","236",5,"dummy","cur",121,437,571,838,4
"237","237",5,"dummy","cur",447,497,380,663,4
"238","238",5,"dummy","cur",415,473,539,465,4
"239","239",5,"dummy","cur",638,463,467,998,4
"240","240",5,"dummy","cur",328,627,468,792,4
"241","241",5,"dummy","cur",646,491,448,699,4
"242","242",5,"dummy","cur",416,441,520,630,4
"243","243",5,"dummy","cur",-61,427,486,702,4
"244","244",5,"dummy","cur",355,355,498,569,4
"245","245",5,"dummy","cur",152,257,409,823,4
"246","246",5,"dummy","cur",-19,526,524,885,4
"247","247",5,"dummy","cur",17,463,541,605,4
"248","248",5,"dummy","cur",306,443,420,875,4
"249","249",5,"dummy","cur",624,582,460,813,4
"250","250",5,"dummy","cur",597,571,641,577,4
"251","251",5,"dummy","cur",480,646,407,1069,4
"252","252",5,"dummy","cur",709,483,468,731,4
"253","253",5,"dummy","cur",533,475,544,922,4
"254","254",5,"dummy","cur",355,393,590,766,4
"255","255",5,"dummy","cur",191,259,562,604,4
"256","256",5,"dummy","cur",467,407,466,816,4
"257","257",5,"dummy","cur",369,505,451,707,4
"258","258",5,"dummy","cur",486,381,437,550,4
"259","259",5,"dummy","cur",492,513,598,951,4
"260","260",5,"dummy","cur",694,483,587,866,4
"261","261",5,"dummy","cur",287,468,457,343,4
"262","262",5,"dummy","cur",363,274,501,1126,4
"263","263",5,"dummy","cur",178,662,519,772,4
"264","264",5,"dummy","cur",254,437,622,769,4
"265","265",5,"dummy","cur",109,565,523,857,4
"266","266",5,"dummy","cur",39,488,410,846,4
"267","267",5,"dummy","cur",272,361,505,966,4
"268","268",5,"dummy","cur",249,667,512,731,4
"269","269",5,"dummy","cur",324,561,515,857,4
"270","270",5,"dummy","cur",591,327,471,945,4
"271","271",5,"dummy","cur",-8,512,640,1205,4
"272","272",5,"dummy","cur",-72,475,595,725,4
"273","273",5,"dummy","cur",410,409,467,711,4
"274","274",5,"dummy","cur",414,423,501,773,4
"275","275",5,"dummy","cur",215,527,646,666,4
"276","276",5,"dummy","cur",517,444,516,923,4
"277","277",5,"dummy","cur",312,529,556,457,4
"278","278",5,"dummy","cur",222,446,418,1070,4
"279","279",5,"dummy","cur",528,508,440,533,4
"280","280",5,"dummy","cur",11,475,640,1078,4
"281","281",5,"dummy","cur",180,468,600,1022,4
"282","282",5,"dummy","cur",58,441,395,1010,4
"283","283",5,"dummy","cur",68,429,583,792,4
"284","284",5,"dummy","cur",297,647,405,544,4
"285","285",5,"dummy","cur",335,496,593,569,4
"286","286",5,"dummy","cur",315,511,422,591,4
"287","287",5,"dummy","cur",568,425,426,1022,4
"288","288",5,"dummy","cur",479,554,487,839,4
"289","289",5,"dummy","cur",225,352,429,1003,4
"290","290",5,"dummy","cur",759,331,405,666,4
"291","291",5,"dummy","cur",626,575,500,581,4
"292","292",5,"dummy","cur",257,479,472,425,4
"293","293",5,"dummy","cur",391,317,475,623,4
"294","294",5,"dummy","cur",545,639,460,1167,4
"295","295",5,"dummy","cur",806,579,603,726,4
"296","296",5,"dummy","cur",270,331,503,811,4
"297","297",5,"dummy","cur",692,467,494,735,4
"298","298",5,"dummy","cur",-99,436,581,710,4
"299","299",5,"dummy","cur",338,508,549,761,4
"300","300",5,"dummy","cur",698,412,381,900,4
"301","301",5,"dummy","cur",359,280,573,661,4
"302","302",5,"dummy","cur",475,501,375,628,4
"303","303",5,"dummy","cur",380,541,401,629,4
"304","304",5,"dummy","cur",474,634,449,640,4
"305","305",5,"dummy","cur",372,389,575,739,4
"306","306",5,"dummy","cur",379,465,485,414,4
"307","307",5,"dummy","cur",175,323,485,483,4
"308","308",5,"dummy","cur",362,563,505,780,4
"309","309",5,"dummy","cur",354,599,476,547,4
"310","310",5,"dummy","cur",617,466,579,550,4
"311","311",5,"dummy","cur",687,387,659,1127,4
"312","312",5,"dummy","cur",342,606,475,687,4
"313","313",5,"dummy","cur",601,339,403,737,4
"314","314",5,"dummy","cur",276,309,539,613,4
"315","315",5,"dummy","cur",287,508,498,995,4
"316","316",5,"dummy","cur",544,534,599,855,4
"317","317",5,"dummy","cur",562,490,437,626,4
"318","318",5,"dummy","cur",700,400,425,799,4
"319","319",5,"dummy","cur",894,484,490,875,4
"320","320",5,"dummy","cur",311,274,398,851,4
"321","321",5,"dummy","cur",205,198,536,776,4
"322","322",5,"dummy","cur",312,314,587,436,4
"323","323",5,"dummy","cur",625,536,410,586,4
"324","324",5,"dummy","cur",539,361,495,622,4
"325","325",5,"dummy","cur",494,409,489,657,4
"326","326",5,"dummy","cur",370,377,548,856,4
"327","327",5,"dummy","cur",226,408,390,740,4
"328","328",5,"dummy","cur",303,440,457,690,4
"329","329",5,"dummy","cur",439,380,489,868,4
"330","330",5,"dummy","cur",428,395,458,875,4
"331","331",5,"dummy","cur",245,396,538,848,4
"332","332",5,"dummy","cur",357,621,641,550,4
"333","333",5,"dummy","cur",465,520,511,585,4
"334","334",5,"dummy","cur",613,345,437,252,4
"335","335",5,"dummy","cur",613,531,508,521,4
"336","336",5,"dummy","cur",340,498,536,977,4
"337","337",5,"dummy","cur",487,504,610,865,4
"338","338",5,"dummy","cur",529,479,464,599,4
"339","339",5,"dummy","cur",467,559,597,924,4
"340","340",5,"dummy","cur",390,530,499,839,4
"341","341",5,"dummy","cur",431,616,582,512,4
"342","342",5,"dummy","cur",441,481,533,552,4
"343","343",5,"dummy","cur",235,519,519,421,4
"344","344",5,"dummy","cur",145,524,502,654,4
"345","345",5,"dummy","cur",352,399,504,859,4
"346","346",5,"dummy","cur",221,528,404,1122,4
"347","347",5,"dummy","cur",693,410,598,403,4
"348","348",5,"dummy","cur",505,497,536,760,4
"349","349",5,"dummy","cur",457,426,401,714,4
"350","350",5,"dummy","cur",-9,458,480,485,4
"351","351",5,"dummy","cur",401,483,561,540,4
"352","352",5,"dummy","cur",512,418,497,726,4
"353","353",5,"dummy","cur",600,381,366,1152,4
"354","354",5,"dummy","cur",502,290,474,576,4
"355","355",5,"dummy","cur",257,317,368,805,4
"356","356",5,"dummy","cur",183,407,549,891,4
"357","357",5,"dummy","cur",465,616,478,777,4
"358","358",5,"dummy","cur",441,621,401,621,4
"359","359",5,"dummy","cur",378,400,537,840,4
"360","360",5,"dummy","cur",603,541,463,561,4
"361","361",5,"dummy","cur",75,413,480,697,4
"362","362",5,"dummy","cur",200,389,453,745,4
"363","363",5,"dummy","cur",393,482,577,799,4
"364","364",5,"dummy","cur",385,428,588,827,4
"365","365",5,"dummy","cur",377,479,616,768,4
"366","366",5,"dummy","cur",359,510,546,773,4
"367","367",5,"dummy","cur",89,479,575,631,4
"368","368",5,"dummy","cur",448,463,635,355,4
"369","369",5,"dummy","cur",442,308,571,902,4
"370","370",5,"dummy","cur",315,304,529,1075,4
"371","371",5,"dummy","cur",661,433,483,892,4
"372","372",5,"dummy","cur",425,313,353,897,4
"373","373",5,"dummy","cur",400,486,517,904,4
"374","374",5,"dummy","cur",535,487,417,651,4
"375","375",5,"dummy","cur",523,414,413,1091,4
"376","376",5,"dummy","cur",566,444,410,736,4
"377","377",5,"dummy","cur",417,382,432,758,4
"378","378",5,"dummy","cur",255,518,612,610,4
"379","379",5,"dummy","cur",224,587,498,594,4
"380","380",5,"dummy","cur",256,508,575,884,4
"381","381",5,"dummy","cur",446,382,408,758,4
"382","382",5,"dummy","cur",469,594,472,616,4
"383","383",5,"dummy","cur",-68,442,438,964,4
"384","384",5,"dummy","cur",473,493,320,632,4
"385","385",5,"dummy","cur",165,646,507,829,4
"386","386",5,"dummy","cur",494,459,501,688,4
"387","387",5,"dummy","cur",218,296,533,615,4
"388","388",5,"dummy","cur",877,402,451,411,4
"389","389",5,"dummy","cur",797,475,574,887,4
"390","390",5,"dummy","cur",522,371,485,995,4
"391","391",5,"dummy","cur",120,642,492,880,4
"392","392",5,"dummy","cur",279,415,549,846,4
"393","393",5,"dummy","cur",428,418,380,1024,4
"394","394",5,"dummy","cur",263,546,551,685,4
"395","395",5,"dummy","cur",54,609,401,602,4
"396","396",5,"dummy","cur",205,322,532,551,4
"397","397",5,"dummy","cur",444,627,543,1213,4
"398","398",5,"dummy","cur",457,537,370,795,4
"399","399",5,"dummy","cur",273,429,410,816,4
"400","400",5,"dummy","cur",565,465,549,988,4
"401","401",5,"dummy","cur",586,507,515,587,4
"402","402",5,"dummy","cur",311,405,548,292,4
"403","403",5,"dummy","cur",273,581,485,848,4
"404","404",5,"dummy","cur",591,638,521,603,4
"405","405",5,"dummy","cur",353,546,578,741,4
"406","406",5,"dummy","cur",717,437,661,549,4
"407","407",5,"dummy","cur",567,368,458,865,4
"408","408",5,"dummy","cur",582,515,650,695,4
"409","409",5,"dummy","cur",273,265,492,597,4
"410","410",5,"dummy","cur",472,464,512,1324,4
"411","411",5,"dummy","cur",727,316,524,774,4
"412","412",5,"dummy","cur",660,357,554,771,4
"413","413",5,"dummy","cur",272,432,619,1052,4
"414","414",5,"dummy","cur",692,447,536,990,4
"415","415",5,"dummy","cur",404,556,384,267,4
"416","416",5,"dummy","cur",390,397,623,336,4
"417","417",5,"dummy","cur",684,446,472,810,4
"418","418",5,"dummy","cur",397,380,454,954,4
"419","419",5,"dummy","cur",620,363,594,704,4
"420","420",5,"dummy","cur",403,427,516,671,4
"421","421",5,"dummy","cur",142,458,619,727,4
"422","422",5,"dummy","cur",-171,524,565,994,4
"423","423",5,"dummy","cur",211,481,431,548,4
"424","424",5,"dummy","cur",223,493,468,660,4
"425","425",5,"dummy","cur",389,570,502,945,4
"426","426",5,"dummy","cur",315,454,422,1200,4
"427","427",5,"dummy","cur",109,559,604,635,4
"428","428",5,"dummy","cur",136,759,531,1033,4
"429","429",5,"dummy","cur",251,543,613,620,4
"430","430",5,"dummy","cur",404,490,607,920,4
"431","431",5,"dummy","cur",561,357,406,861,4
"432","432",5,"dummy","cur",14,427,544,669,4
"433","433",5,"dummy","cur",382,754,493,769,4
"434","434",5,"dummy","cur",590,398,485,1022,4
"435","435",5,"dummy","cur",467,477,478,967,4
"436","436",5,"dummy","cur",880,388,598,1127,4
"437","437",5,"dummy","cur",345,457,429,789,4
"438","438",5,"dummy","cur",506,501,462,678,4
"439","439",5,"dummy","cur",865,589,505,791,4
"440","440",5,"dummy","cur",269,474,576,972,4
"441","441",5,"dummy","cur",123,270,510,963,4
"442","442",5,"dummy","cur",649,402,505,1054,4
"443","443",5,"dummy","cur",642,399,470,929,4
"444","444",5,"dummy","cur",119,446,538,973,4
"445","445",5,"dummy","cur",81,507,552,436,4
"446","446",5,"dummy","cur",454,433,465,789,4
"447","447",5,"dummy","cur",175,579,600,761,4
"448","448",5,"dummy","cur",279,421,590,852,4
"449","449",5,"dummy","cur",505,572,527,921,4
"450","450",5,"dummy","cur",107,615,610,899,4
"451","451",5,"dummy","cur",266,604,528,749,4
"452","452",5,"dummy","cur",469,659,454,1090,4
"453","453",5,"dummy","cur",522,439,506,886,4
"454","454",5,"dummy","cur",452,609,546,862,4
"455","455",5,"dummy","cur",201,423,483,837,4
"456","456",5,"dummy","cur",653,609,379,999,4
"457","457",5,"dummy","cur",236,390,485,663,4
"458","458",5,"dummy","cur",274,406,520,923,4
"459","459",5,"dummy","cur",569,581,538,703,4
"460","460",5,"dummy","cur",526,460,525,580,4
"461","461",5,"dummy","cur",183,541,458,636,4
"462","462",5,"dummy","cur",599,363,658,981,4
"463","463",5,"dummy","cur",631,302,558,584,4
"464","464",5,"dummy","cur",544,511,526,750,4
"465","465",5,"dummy","cur",253,560,414,550,4
"466","466",5,"dummy","cur",436,242,459,360,4
"467","467",5,"dummy","cur",392,562,622,972,4
"468","468",5,"dummy","cur",-89,425,572,392,4
"469","469",5,"dummy","cur",323,441,617,871,4
"470","470",5,"dummy","cur",310,652,381,1136,4
"471","471",5,"dummy","cur",162,345,358,928,4
"472","472",5,"dummy","cur",644,733,565,741,4
"473","473",5,"dummy","cur",182,651,517,908,4
"474","474",5,"dummy","cur",580,519,531,714,4
"475","475",5,"dummy","cur",87,587,474,1127,4
"476","476",5,"dummy","cur",443,571,520,854,4
"477","477",5,"dummy","cur",623,388,477,832,4
"478","478",5,"dummy","cur",485,407,580,714,4
"479","479",5,"dummy","cur",18,423,486,633,4
"480","480",5,"dummy","cur",421,342,699,928,4
"481","481",5,"dummy","cur",462,561,525,428,4
"482","482",5,"dummy","cur",367,369,522,544,4
"483","483",5,"dummy","cur",-30,388,522,1093,4
"484","484",5,"dummy","cur",638,565,499,1335,4
"485","485",5,"dummy","cur",343,500,440,640,4
"486","486",5,"dummy","cur",339,461,549,1085,4
"487","487",5,"dummy","cur",93,640,567,1051,4
"488","488",5,"dummy","cur",470,436,379,521,4
"489","489",5,"dummy","cur",317,411,433,580,4
"490","490",5,"dummy","cur",602,393,543,578,4
"491","491",5,"dummy","cur",483,570,624,1121,4
"492","492",5,"dummy","cur",633,415,548,810,4
"493","493",5,"dummy","cur",480,266,556,848,4
"494","494",5,"dummy","cur",356,645,374,344,4
"495","495",5,"dummy","cur",614,393,557,755,4
"496","496",5,"dummy","cur",655,248,448,328,4
"497","497",5,"dummy","cur",497,553,529,762,4
"498","498",5,"dummy","cur",440,578,411,1138,4
"499","499",5,"dummy","cur",706,323,510,857,4
"500","500",5,"dummy","cur",173,593,576,1199,4
"501","501",5,"dummy","cur",320,613,571,588,4
"502","502",5,"dummy","cur",453,355,595,869,4
"503","503",5,"dummy","cur",413,506,482,563,4
"504","504",5,"dummy","cur",257,365,526,809,4
"505","505",5,"dummy","cur",359,601,436,520,4
"506","506",5,"dummy","cur",421,403,468,477,4
"507","507",5,"dummy","cur",422,591,571,608,4
"508","508",5,"dummy","cur",271,497,517,689,4
"509","509",5,"dummy","cur",589,399,494,676,4
"510","510",5,"dummy","cur",433,393,622,871,4
"511","511",5,"dummy","cur",245,517,597,900,4
"512","512",5,"dummy","cur",142,552,566,679,4
"513","513",5,"dummy","cur",309,529,570,705,4
"514","514",5,"dummy","cur",366,369,508,812,4
"515","515",5,"dummy","cur",354,448,623,611,4
"516","516",5,"dummy","cur",577,384,471,661,4
"517","517",5,"dummy","cur",366,530,596,695,4
"518","518",5,"dummy","cur",63,463,494,734,4
"519","519",5,"dummy","cur",-42,517,441,820,4
"520","520",5,"dummy","cur",215,579,455,728,4
"521","521",5,"dummy","cur",72,295,327,936,4
"522","522",5,"dummy","cur",272,280,476,648,4
"523","523",5,"dummy","cur",221,310,457,551,4
"524","524",5,"dummy","cur",113,472,565,766,4
"525","525",5,"dummy","cur",429,529,375,392,4
"526","526",5,"dummy","cur",331,295,561,647,4
"527","527",5,"dummy","cur",303,663,399,737,4
"528","528",5,"dummy","cur",425,419,602,869,4
"529","529",5,"dummy","cur",623,532,547,512,4
"530","530",5,"dummy","cur",421,564,424,581,4
"531","531",5,"dummy","cur",279,349,464,561,4
"532","532",5,"dummy","cur",442,418,610,1063,4
"533","533",5,"dummy","cur",545,479,581,771,4
"534","534",5,"dummy","cur",454,500,531,771,4
"535","535",5,"dummy","cur",464,449,476,825,4
"536","536",5,"dummy","cur",564,447,605,964,4
"537","537",5,"dummy","cur",774,480,527,819,4
"538","538",5,"dummy","cur",473,424,556,616,4
"539","539",5,"dummy","cur",248,482,417,408,4
"540","540",5,"dummy","cur",363,554,466,989,4
"541","541",5,"dummy","cur",365,480,475,865,4
"542","542",5,"dummy","cur",97,610,516,858,4
"543","543",5,"dummy","cur",324,620,543,992,4
"544","544",5,"dummy","cur",246,378,612,791,4
"545","545",5,"dummy","cur",451,445,488,724,4
"546","546",5,"dummy","cur",489,625,394,612,4
"547","547",5,"dummy","cur",802,537,486,1006,4
"548","548",5,"dummy","cur",198,550,503,548,4
"549","549",5,"dummy","cur",233,365,437,1084,4
"550","550",5,"dummy","cur",332,615,476,794,4
"551","551",5,"dummy","cur",437,269,462,1088,4
"552","552",5,"dummy","cur",354,535,402,774,4
"553","553",5,"dummy","cur",115,384,568,760,4
"554","554",5,"dummy","cur",440,359,600,388,4
